treatment,wp,n_circles,seed,strategy,init,selection_scheme,archive_mode,repair,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
+clip,STACK,20,23,SINGLE_VARIANCE,lhs,comma,off,clip,0.24470706,0.14620685,200160,953,,,
+clip,STACK,20,24,SINGLE_VARIANCE,lhs,comma,off,clip,0.24447907,0.14700233,200160,953,,,
+clip+polish,STACK,7,0,SINGLE_VARIANCE,lhs,comma,off,clip,0.52293586,0.0241884,200190,762,,,
+clip+polish,STACK,7,1,SINGLE_VARIANCE,lhs,comma,off,clip,0.52737304,0.01590852,200100,734,21705,,
+clip+polish,STACK,7,2,SINGLE_VARIANCE,lhs,comma,off,clip,0.53472437,0.00219073,200055,764,12180,,
+clip+polish,STACK,7,3,SINGLE_VARIANCE,lhs,comma,off,clip,0.50128923,0.06458156,200025,801,,,
+clip+polish,STACK,7,4,SINGLE_VARIANCE,lhs,comma,off,clip,0.50798693,0.05208348,200145,786,,,
+clip+polish,STACK,7,5,SINGLE_VARIANCE,lhs,comma,off,clip,0.51284613,0.0430161,200145,768,,,
+clip+polish,STACK,7,6,SINGLE_VARIANCE,lhs,comma,off,clip,0.52292866,0.02420183,199710,770,,,
+clip+polish,STACK,7,7,SINGLE_VARIANCE,lhs,comma,off,clip,0.50630516,0.0552217,199305,760,,,
+clip+polish,STACK,7,8,SINGLE_VARIANCE,lhs,comma,off,clip,0.50336979,0.06069918,200190,773,,,
+clip+polish,STACK,7,9,SINGLE_VARIANCE,lhs,comma,off,clip,0.52380441,0.02256766,200130,766,,,
+clip+polish,STACK,7,10,SINGLE_VARIANCE,lhs,comma,off,clip,0.52395194,0.02229238,200175,777,,,
+clip+polish,STACK,7,11,SINGLE_VARIANCE,lhs,comma,off,clip,0.51220509,0.04421228,200115,771,,,
+clip+polish,STACK,7,12,SINGLE_VARIANCE,lhs,comma,off,clip,0.51020115,0.04795169,199710,750,,,
+clip+polish,STACK,7,13,SINGLE_VARIANCE,lhs,comma,off,clip,0.53587454,4.449e-05,200085,749,15840,25305,
+clip+polish,STACK,7,14,SINGLE_VARIANCE,lhs,comma,off,clip,0.51763728,0.03407568,200190,760,,,
+clip+polish,STACK,7,15,SINGLE_VARIANCE,lhs,comma,off,clip,0.51422354,0.04044581,200205,762,,,
+clip+polish,STACK,7,16,SINGLE_VARIANCE,lhs,comma,off,clip,0.52115408,0.02751325,200205,769,,,
+clip+polish,STACK,7,17,SINGLE_VARIANCE,lhs,comma,off,clip,0.51219528,0.04423059,200025,747,,,
+clip+polish,STACK,7,18,SINGLE_VARIANCE,lhs,comma,off,clip,0.52241682,0.02515694,200205,782,,,
+clip+polish,STACK,7,19,SINGLE_VARIANCE,lhs,comma,off,clip,0.53576841,0.00024253,200085,774,12390,24720,
+clip+polish,STACK,7,20,SINGLE_VARIANCE,lhs,comma,off,clip,0.53572078,0.00033142,200130,773,11970,24840,
+clip+polish,STACK,7,21,SINGLE_VARIANCE,lhs,comma,off,clip,0.5133414,0.04209192,200100,730,,,
+clip+polish,STACK,7,22,SINGLE_VARIANCE,lhs,comma,off,clip,0.53546469,0.00080929,200160,774,11730,22935,
+clip+polish,STACK,7,23,SINGLE_VARIANCE,lhs,comma,off,clip,0.52028888,0.02912773,200160,761,,,
+clip+polish,STACK,7,24,SINGLE_VARIANCE,lhs,comma,off,clip,0.51690521,0.03544176,200055,786,,,
+clip+polish,STACK,10,0,SINGLE_VARIANCE,lhs,comma,off,clip,0.3942016,0.06427548,200160,711,,,
+clip+polish,STACK,10,1,SINGLE_VARIANCE,lhs,comma,off,clip,0.40023503,0.04995379,200055,680,,,
+clip+polish,STACK,10,2,SINGLE_VARIANCE,lhs,comma,off,clip,0.39493305,0.06253922,199908,680,,,
+clip+polish,STACK,10,3,SINGLE_VARIANCE,lhs,comma,off,clip,0.40406752,0.04085654,199866,670,,,
+clip+polish,STACK,10,4,SINGLE_VARIANCE,lhs,comma,off,clip,0.4101889,0.02632609,199950,730,,,
+clip+polish,STACK,10,5,SINGLE_VARIANCE,lhs,comma,off,clip,0.34185506,0.18853154,200181,726,,,
+clip+polish,STACK,10,6,SINGLE_VARIANCE,lhs,comma,off,clip,0.40028867,0.04982648,200160,676,,,
+clip+polish,STACK,10,7,SINGLE_VARIANCE,lhs,comma,off,clip,0.39660408,0.05857266,200013,694,,,
+clip+polish,STACK,10,8,SINGLE_VARIANCE,lhs,comma,off,clip,0.39588355,0.060283,200181,705,,,
+clip+polish,STACK,10,9,SINGLE_VARIANCE,lhs,comma,off,clip,0.39124306,0.07129822,200034,699,,,
