treatment,wp,n_circles,seed,strategy,init,selection_scheme,repair,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
B-repair_reflect,WP3,15,9,SINGLE_VARIANCE,lhs,comma,reflect,0.28162339,0.17432199,100200,477,,,
B-repair_reflect,WP3,20,0,SINGLE_VARIANCE,lhs,comma,reflect,0.23411743,0.18315453,100200,477,,,
B-repair_reflect,WP3,20,1,SINGLE_VARIANCE,lhs,comma,reflect,0.2175195,0.24106539,100200,477,,,
B-repair_reflect,WP3,20,2,SINGLE_VARIANCE,lhs,comma,reflect,0.23232512,0.18940797,100200,477,,,
B-repair_reflect,WP3,20,3,SINGLE_VARIANCE,lhs,comma,reflect,0.22732579,0.20685086,100200,477,,,
B-repair_reflect,WP3,20,4,SINGLE_VARIANCE,lhs,comma,reflect,0.1970589,0.31245329,100200,477,,,
B-repair_reflect,WP3,20,5,SINGLE_VARIANCE,lhs,comma,reflect,0.22475794,0.21581018,100200,477,,,
B-repair_reflect,WP3,20,6,SINGLE_VARIANCE,lhs,comma,reflect,0.25156693,0.12227248,100200,477,,,
B-repair_reflect,WP3,20,7,SINGLE_VARIANCE,lhs,comma,reflect,0.2193378,0.23472126,100200,477,,,
B-repair_reflect,WP3,20,8,SINGLE_VARIANCE,lhs,comma,reflect,0.22831444,0.20340141,100200,477,,,
B-repair_reflect,WP3,20,9,SINGLE_VARIANCE,lhs,comma,reflect,0.22860761,0.20237853,100200,477,,,
